法院,裁判年度,類別,筆數
臺灣雲林地方法院,112,民事,1
臺灣雲林地方法院,113,刑事,80
臺灣雲林地方法院,113,民事,1
臺灣雲林地方法院,114,刑事,72
臺灣雲林地方法院,114,民事,2
臺灣雲林地方法院,115,刑事,49
臺灣雲林地方法院,115,民事,1
臺灣苗栗地方法院,112,刑事,75
臺灣苗栗地方法院,112,民事,5
臺灣苗栗地方法院,113,刑事,66
臺灣苗栗地方法院,113,民事,4
臺灣苗栗地方法院,114,刑事,71
臺灣苗栗地方法院,114,民事,3
臺灣苗栗地方法院,115,刑事,51
臺灣苗栗地方法院,115,民事,1
臺灣南投地方法院,112,刑事,45
臺灣南投地方法院,112,民事,2
臺灣南投地方法院,113,刑事,59
臺灣南投地方法院,113,民事,1
臺灣南投地方法院,114,刑事,86
臺灣南投地方法院,114,民事,6
臺灣南投地方法院,115,刑事,29
臺灣基隆地方法院,112,刑事,70
臺灣基隆地方法院,112,民事,5
臺灣基隆地方法院,113,刑事,59
臺灣基隆地方法院,113,民事,3
臺灣基隆地方法院,114,刑事,49
臺灣基隆地方法院,114,民事,2
臺灣基隆地方法院,115,刑事,23
臺灣基隆地方法院,115,民事,3
臺灣花蓮地方法院,112,刑事,51
臺灣花蓮地方法院,112,民事,1
臺灣花蓮地方法院,112,行政,1
臺灣花蓮地方法院,113,刑事,63
臺灣花蓮地方法院,113,民事,4
臺灣花蓮地方法院,114,刑事,32
臺灣花蓮地方法院,114,民事,1
臺灣花蓮地方法院,115,刑事,22
臺灣花蓮地方法院,115,民事,1
臺灣宜蘭地方法院,112,刑事,48
臺灣宜蘭地方法院,113,刑事,31
臺灣宜蘭地方法院,113,民事,2
臺灣宜蘭地方法院,114,刑事,37
臺灣宜蘭地方法院,114,民事,3
臺灣宜蘭地方法院,115,刑事,26
臺灣宜蘭地方法院,115,民事,1
臺灣臺東地方法院,112,刑事,39
臺灣臺東地方法院,112,民事,2
臺灣臺東地方法院,113,刑事,36
臺灣臺東地方法院,113,民事,1
臺灣臺東地方法院,114,刑事,43
臺灣臺東地方法院,115,刑事,14
臺北高等行政法院 高等庭,112,行政,18
臺北高等行政法院 高等庭,113,行政,38
臺北高等行政法院 高等庭,114,行政,36
臺北高等行政法院 高等庭,115,行政,13
智慧財產及商業法院,112,刑事,8
智慧財產及商業法院,112,民事,12
智慧財產及商業法院,112,行政,2
智慧財產及商業法院,113,刑事,9
智慧財產及商業法院,113,民事,16
智慧財產及商業法院,113,行政,6
智慧財產及商業法院,114,刑事,9
智慧財產及商業法院,114,民事,16
智慧財產及商業法院,114,行政,4
智慧財產及商業法院,115,刑事,3
智慧財產及商業法院,115,民事,2
智慧財產及商業法院,115,行政,3
臺灣高等法院 花蓮分院,112,刑事,15
臺灣高等法院 花蓮分院,113,刑事,33
臺灣高等法院 花蓮分院,114,刑事,21
臺灣高等法院 花蓮分院,115,刑事,11
最高行政法院,112,行政,26
最高行政法院,113,行政,18
最高行政法院,114,行政,28
最高行政法院,115,行政,8
臺北高等行政法院 地方庭,112,行政,6
臺北高等行政法院 地方庭,113,行政,19
臺北高等行政法院 地方庭,114,行政,20
臺北高等行政法院 地方庭,115,行政,7
高雄高等行政法院 高等庭,112,行政,1
高雄高等行政法院 高等庭,113,行政,21
高雄高等行政法院 高等庭,114,行政,16
高雄高等行政法院 高等庭,115,行政,5
高雄高等行政法院 地方庭,112,行政,5
高雄高等行政法院 地方庭,113,行政,14
高雄高等行政法院 地方庭,114,行政,17
高雄高等行政法院 地方庭,115,行政,5
福建金門地方法院,112,刑事,11
福建金門地方法院,113,刑事,16
福建金門地方法院,114,刑事,9
福建金門地方法院,115,刑事,4
臺北高等行政法院,112,行政,36
憲法法庭,112,憲法法庭,6
憲法法庭,113,憲法法庭,3
憲法法庭,114,憲法法庭,3
憲法法庭,115,憲法法庭,4
臺中高等行政法院 高等庭,113,行政,3
臺中高等行政法院 高等庭,114,行政,6
臺中高等行政法院 高等庭,115,行政,4
臺灣澎湖地方法院,113,刑事,3
臺灣澎湖地方法院,114,刑事,4
臺灣澎湖地方法院,114,民事,1
臺灣澎湖地方法院,115,刑事,3
臺中高等行政法院 地方庭,113,行政,5
臺中高等行政法院 地方庭,114,行政,3
臺中高等行政法院 地方庭,115,行政,2
高雄高等行政法院,112,行政,5
福建高等法院金門分院,112,刑事,2
福建高等法院金門分院,112,民事,1
福建高等法院金門分院,113,民事,1
懲戒法院懲戒法庭,113,懲戒,1
懲戒法院懲戒法庭,114,懲戒,1
懲戒法院懲戒法庭,115,懲戒,1
福建連江地方法院,113,刑事,1
福建連江地方法院,114,刑事,2
臺中高等行政法院,112,行政,1
